Run Date;Combo;Ticker;Fail Count;Top Reason;Top Reason Count;First Failed At;Last Failed At;Reasons JSON
2026-04-26;COMBO;IHJN.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ZN8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;Y43.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;EP0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;FFX.AX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;AII;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ENRIN.NS;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;0BP.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;1Y3.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;77F.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;IV3.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;W3K.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;UNC.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;WMR0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;TTAM.BR;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;47E.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;BH1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;BEXQ.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;D3P.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;XPH.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;F5Q.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;507.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;7OS.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;4BC0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;MLT.AX;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;INFI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;NOVA;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8DC.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;RENEW;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;LAI3.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;VSNT;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;053320.KQ;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;2UO.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;RZLV.L;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;US.MI;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;STLN.SW;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;2259.HK;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;8LQ0.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;HW9.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;4VF.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;PFSE.DE;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;XQ8.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;SWAV;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;READ.ST;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;WU3.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;F3Y.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;7KY1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;2IU1.F;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;CASAGRC1;1;Download leer oder zu kurz;0;;;{}
2026-04-26;COMBO;ROR1.VI;1;Download leer oder zu kurz;0;;;{}
